Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput,Time Elapsed
2024-01-01 15:42:50.345911238 +0000 UTC m=+423.102750441,100000,90,10.434141ms,152.033589ms,417.079µs,9.583922624775724e+06,11.97332667s
2024-01-01 15:43:02.34308055 +0000 UTC m=+435.099919762,100000,91,10.720124ms,145.27057ms,293.9µs,9.328250307552414e+06,11.997115272s
2024-01-01 15:43:14.357908346 +0000 UTC m=+447.114747559,100000,92,10.706811ms,140.846061ms,311.55µs,9.33984918571926e+06,12.014787356s
2024-01-01 15:43:26.340158303 +0000 UTC m=+459.096997506,100000,93,10.922526ms,143.484476ms,398.52µs,9.1553913444564e+06,11.981027487s
2024-01-01 15:43:38.106859988 +0000 UTC m=+470.863699191,100000,94,10.601433ms,142.030732ms,334.86µs,9.432687071643993e+06,11.766668705s
2024-01-01 15:43:55.05604158 +0000 UTC m=+487.812880813,100000,95,15.482849ms,210.428753ms,293.3µs,6.458759624924327e+06,16.949170692s
2024-01-01 15:44:07.15224165 +0000 UTC m=+499.909080863,100000,96,11.251502ms,145.099142ms,413.68µs,8.88770228188201e+06,12.09612165s
2024-01-01 15:44:19.363496347 +0000 UTC m=+512.120335550,100000,97,11.509589ms,145.098399ms,370.93µs,8.688407553041207e+06,12.211213416s
2024-01-01 15:44:31.134618539 +0000 UTC m=+523.891457742,100000,98,11.165899ms,141.92476ms,295.85µs,8.955839561149532e+06,11.771072492s
2024-01-01 15:44:43.309790623 +0000 UTC m=+536.066629836,100000,99,11.721595ms,148.91471ms,442.3µs,8.53126217037869e+06,12.175097574s
2024-01-01 15:44:55.116746895 +0000 UTC m=+547.873586108,100000,100,11.383197ms,152.305668ms,430.57µs,8.784878272773458e+06,11.806902212s
