Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-02-01 15:28:41.456194782 +0000 UTC m=+32.025716826,0,0,0,0,0,0,0
2024-02-01 15:29:24.013152344 +0000 UTC m=+74.582674389,100000,1,420.607µs,5.221084ms,224.438µs,2377.514062231545,42.55284027s
2024-02-01 15:29:49.620005671 +0000 UTC m=+100.189527714,100000,2,506.667µs,5.207519ms,199.373µs,1973.6803430607292,25.602814872s
2024-02-01 15:30:08.948559701 +0000 UTC m=+119.518081743,100000,3,573.808µs,4.012699ms,207.38µs,1742.7429588120096,19.32507377s
2024-02-01 15:30:24.95295584 +0000 UTC m=+135.522477882,100000,4,633.965µs,5.350865ms,228.653µs,1577.3735240544072,16.000883993s
2024-02-01 15:30:38.962405097 +0000 UTC m=+149.531927140,100000,5,693.696µs,6.347558ms,246.074µs,1441.5525371942038,14.005864948s
2024-02-01 15:30:51.714560829 +0000 UTC m=+162.284082870,100000,6,757.931µs,6.116149ms,238.914µs,1319.3803276722022,12.748292666s
2024-02-01 15:31:03.598444239 +0000 UTC m=+174.167966285,100000,7,824.09µs,5.483684ms,254.652µs,1213.459112289148,11.880152444s
2024-02-01 15:31:14.747840191 +0000 UTC m=+185.317362233,100000,8,883.582µs,5.44403ms,251.629µs,1131.7564874816828,11.145784367s
2024-02-01 15:31:25.216377814 +0000 UTC m=+195.785899856,100000,9,933.783µs,5.780772ms,253.898µs,1070.9119655999432,10.465067467s
2024-02-01 15:31:35.216450795 +0000 UTC m=+205.785972840,100000,10,991.263µs,6.524778ms,244.15µs,1008.813140150175,9.996556392s
2024-02-01 15:31:44.854987072 +0000 UTC m=+215.424509117,100000,11,1.050719ms,6.931741ms,261.774µs,951.728469694153,9.634430514s
2024-02-01 15:31:54.11258668 +0000 UTC m=+224.682108731,100000,12,1.100887ms,6.816801ms,261.203µs,908.3582367262868,9.253805258s
2024-02-01 15:32:03.176450641 +0000 UTC m=+233.745972684,100000,13,1.167846ms,6.91858ms,280.953µs,856.2767912460966,9.060240605s
2024-02-01 15:32:12.065063098 +0000 UTC m=+242.634585141,100000,14,1.233418ms,9.464173ms,244.912µs,810.7546027017708,8.885063772s
2024-02-01 15:32:20.713385734 +0000 UTC m=+251.282907777,100000,15,1.285989ms,6.956682ms,292.226µs,777.611417459122,8.644270575s
2024-02-01 15:32:29.147089224 +0000 UTC m=+259.716611266,100000,16,1.337655ms,13.845704ms,247.079µs,747.5764890519772,8.430224029s
2024-02-01 15:32:37.521656413 +0000 UTC m=+268.091178455,100000,17,1.410523ms,10.722602ms,249.589µs,708.9568520984153,8.371098733s
2024-02-01 15:32:45.725070924 +0000 UTC m=+276.294592966,100000,18,1.462699ms,11.434953ms,289.683µs,683.6673229317305,8.199496814s
2024-02-01 15:32:53.806773471 +0000 UTC m=+284.376295517,100000,19,1.521734ms,11.586917ms,283.278µs,657.1446647234618,8.078184588s
2024-02-01 15:33:01.725977156 +0000 UTC m=+292.295499198,100000,20,1.56947ms,14.249542ms,274.635µs,637.1577119626186,7.915517174s
2024-02-01 15:33:09.559643089 +0000 UTC m=+300.129165131,100000,21,1.628721ms,10.009953ms,297.929µs,613.9783589130748,7.830189802s
2024-02-01 15:33:17.336892297 +0000 UTC m=+307.906414338,100000,22,1.69493ms,13.774519ms,295.957µs,589.9947063784601,7.77375326s
2024-02-01 15:33:24.917828321 +0000 UTC m=+315.487350363,100000,23,1.726803ms,15.137091ms,274.264µs,579.1045426625634,7.577278919s
2024-02-01 15:33:32.377023031 +0000 UTC m=+322.946545073,100000,24,1.77389ms,14.520389ms,314.669µs,563.7326826267638,7.455241211s
2024-02-01 15:33:39.760769121 +0000 UTC m=+330.330291163,100000,25,1.82924ms,12.587041ms,318.297µs,546.6749514484383,7.380012037s
2024-02-01 15:33:47.04085427 +0000 UTC m=+337.610376312,100000,26,1.875296ms,16.205013ms,289.142µs,533.2490355881067,7.276545024s
2024-02-01 15:33:54.321152999 +0000 UTC m=+344.890675042,100000,27,1.948433ms,19.288143ms,282.493µs,513.2328966110038,7.276296494s
2024-02-01 15:34:01.600837867 +0000 UTC m=+352.170359909,100000,28,2.018641ms,13.947937ms,280.53µs,495.3825786055166,7.276133553s
2024-02-01 15:34:08.791936068 +0000 UTC m=+359.361458111,100000,29,2.065624ms,17.562453ms,307.111µs,484.11521151985255,7.18756724s
2024-02-01 15:34:16.014943208 +0000 UTC m=+366.584465254,100000,30,2.146108ms,14.885798ms,297.576µs,465.9596354451383,7.219434388s
2024-02-01 15:34:23.218407221 +0000 UTC m=+373.787929252,100000,31,2.211216ms,23.085833ms,293.056µs,452.239743835534,7.19974745s
2024-02-01 15:34:30.233472577 +0000 UTC m=+380.802994626,100000,32,2.223029ms,13.956987ms,297.583µs,449.83655242847897,7.01137811s
2024-02-01 15:34:37.219415792 +0000 UTC m=+387.788937834,100000,33,2.284588ms,20.010681ms,288.337µs,437.7155964690569,6.98237742s
2024-02-01 15:34:44.189458102 +0000 UTC m=+394.758980144,100000,34,2.347842ms,18.610033ms,313.783µs,425.9230037301139,6.966430767s
2024-02-01 15:34:51.170346451 +0000 UTC m=+401.739868496,100000,35,2.421258ms,17.657197ms,308.103µs,413.0084008447866,6.977354491s
2024-02-01 15:34:58.202908914 +0000 UTC m=+408.772430960,100000,36,2.509724ms,83.414891ms,276.113µs,398.4501287519416,7.029015808s
2024-02-01 15:35:05.187254631 +0000 UTC m=+415.756776673,100000,37,2.561638ms,21.921388ms,311.469µs,390.3751879836542,6.980845685s
