Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-02-01 11:00:38.973233783 +0000 UTC m=+22.408257020,0,0,0,0,0,0,0
2024-02-01 11:01:37.142703346 +0000 UTC m=+80.577726583,100000,1,575.298µs,5.866847ms,225.77µs,1738.2279043814328,58.165455262s
2024-02-01 11:02:06.342326555 +0000 UTC m=+109.777349800,100000,2,576.885µs,8.534488ms,206.994µs,1733.4451847297992,29.193991525s
2024-02-01 11:02:27.01639905 +0000 UTC m=+130.451422287,100000,3,612.215µs,7.724746ms,229.546µs,1633.4121926478394,20.670451526s
2024-02-01 11:02:42.644778029 +0000 UTC m=+146.079801266,100000,4,617.127µs,3.90928ms,198.941µs,1620.409743180084,15.624770136s
2024-02-01 11:02:55.807891564 +0000 UTC m=+159.242914801,100000,5,649.394µs,3.364288ms,221.469µs,1539.8965015351719,13.159336989s
2024-02-01 11:03:07.138193466 +0000 UTC m=+170.573216703,100000,6,670.53µs,3.510402ms,228.311µs,1491.356190225735,11.3266228s
2024-02-01 11:03:17.393429181 +0000 UTC m=+180.828452419,100000,7,707.61µs,4.208762ms,216.701µs,1413.2060358289086,10.251301859s
2024-02-01 11:03:26.67546694 +0000 UTC m=+190.110490177,100000,8,732µs,6.838449ms,207.005µs,1366.1199124713278,9.27833716s
2024-02-01 11:03:35.166916181 +0000 UTC m=+198.601939418,100000,9,753.144µs,4.243668ms,218.873µs,1327.7667112295048,8.487803228s
2024-02-01 11:03:43.143355256 +0000 UTC m=+206.578378494,100000,10,785.71µs,4.064102ms,250.184µs,1272.7336584624527,7.972790941s
2024-02-01 11:03:50.50814918 +0000 UTC m=+213.943172418,100000,11,797.3µs,4.824479ms,237.609µs,1254.2323937296424,7.35942489s
2024-02-01 11:03:57.451330803 +0000 UTC m=+220.886354041,100000,12,819.721µs,5.030913ms,250.632µs,1219.926780424541,6.939642188s
2024-02-01 11:04:04.011989015 +0000 UTC m=+227.447012260,100000,13,839.145µs,5.582561ms,240.338µs,1191.6879528097948,6.55706367s
2024-02-01 11:04:10.285012436 +0000 UTC m=+233.720035675,100000,14,863.174µs,3.622171ms,239.193µs,1158.5145294009428,6.269499936s
2024-02-01 11:04:16.255969882 +0000 UTC m=+239.690993126,100000,15,879.921µs,4.744563ms,240.326µs,1136.46502403737,5.967423107s
2024-02-01 11:04:22.070389392 +0000 UTC m=+245.505412629,100000,16,913.622µs,7.945722ms,248.237µs,1094.5437264123955,5.810779271s
2024-02-01 11:04:27.633806937 +0000 UTC m=+251.068830181,100000,17,928.997µs,5.248536ms,256.946µs,1076.4296119755406,5.559166722s
2024-02-01 11:04:32.893269288 +0000 UTC m=+256.328292525,100000,18,927.858µs,4.323897ms,270.6µs,1077.7506976096104,5.255951439s
2024-02-01 11:04:38.089475876 +0000 UTC m=+261.524499114,100000,19,966.518µs,5.310973ms,246.027µs,1034.6413381164214,5.192460252s
2024-02-01 11:04:43.151936782 +0000 UTC m=+266.586960026,100000,20,991.971µs,4.524929ms,258.668µs,1008.0936609805611,5.058712893s
2024-02-01 11:04:48.110381029 +0000 UTC m=+271.545404266,100000,21,1.020473ms,6.730481ms,251.536µs,979.9376462571244,4.954484879s
2024-02-01 11:04:52.908433097 +0000 UTC m=+276.343456334,100000,22,1.032447ms,5.023332ms,205.012µs,968.5722226537879,4.794445918s
2024-02-01 11:04:57.579201954 +0000 UTC m=+281.014225191,100000,23,1.050589ms,5.49596ms,262.577µs,951.8463119200719,4.666911342s
2024-02-01 11:05:02.147860584 +0000 UTC m=+285.582883821,100000,24,1.073382ms,4.516015ms,283.63µs,931.6342294748174,4.564781598s
2024-02-01 11:05:06.573219065 +0000 UTC m=+290.008242302,100000,25,1.082429ms,5.3067ms,274.355µs,923.8478231970003,4.421763846s
2024-02-01 11:05:10.908803915 +0000 UTC m=+294.343827152,100000,26,1.101557ms,5.796572ms,258.286µs,907.8058266727012,4.331635227s
2024-02-01 11:05:15.19136104 +0000 UTC m=+298.626384278,100000,27,1.129811ms,5.137602ms,285.123µs,885.1035275072887,4.279014216s
2024-02-01 11:05:19.327452908 +0000 UTC m=+302.762476145,100000,28,1.129909ms,5.485651ms,235.902µs,885.026618455387,4.130704001s
2024-02-01 11:05:23.45411788 +0000 UTC m=+306.889141117,100000,29,1.167833ms,19.445063ms,251.738µs,856.2863112545238,4.123125765s
2024-02-01 11:05:27.477993303 +0000 UTC m=+310.913016539,100000,30,1.177806ms,5.337458ms,283.629µs,849.0357054861806,4.019558921s
2024-02-01 11:05:31.413938303 +0000 UTC m=+314.848961541,100000,31,1.1909ms,6.044175ms,234.789µs,839.7007241377786,3.932218848s
2024-02-01 11:05:35.264644062 +0000 UTC m=+318.699667298,100000,32,1.203216ms,6.168587ms,286.196µs,831.1054738424351,3.846996053s
2024-02-01 11:05:38.976395352 +0000 UTC m=+322.411418589,100000,33,1.191517ms,6.015036ms,249.669µs,839.2660955644467,3.708019553s
2024-02-01 11:05:42.777621565 +0000 UTC m=+326.212644802,100000,34,1.259116ms,7.763678ms,318.166µs,794.2079766924481,3.79664638s
2024-02-01 11:05:46.585252345 +0000 UTC m=+330.020275586,100000,35,1.299914ms,6.236734ms,289.61µs,769.2812168111875,3.804096976s
2024-02-01 11:05:50.275663895 +0000 UTC m=+333.710687117,100000,36,1.295275ms,6.081524ms,284.38µs,772.0367009224826,3.68645714s
2024-02-01 11:05:53.99318758 +0000 UTC m=+337.428210817,100000,37,1.337247ms,7.722347ms,304.95µs,747.8049283097565,3.713747687s
2024-02-01 11:05:57.536449522 +0000 UTC m=+340.971472763,100000,38,1.307667ms,5.615443ms,295.354µs,764.7205391689783,3.538686947s
2024-02-01 11:06:01.21619348 +0000 UTC m=+344.651216717,100000,39,1.399983ms,5.613185ms,270.764µs,714.2940041166167,3.676050895s
2024-02-01 11:06:04.849374367 +0000 UTC m=+348.284397605,100000,40,1.415034ms,6.352035ms,306.726µs,706.6963833123397,3.629455453s
2024-02-01 11:06:08.420168068 +0000 UTC m=+351.855191315,100000,41,1.425751ms,5.836026ms,311.129µs,701.3843752447399,3.567173319s
2024-02-01 11:06:11.913082069 +0000 UTC m=+355.348105306,100000,42,1.428548ms,6.296367ms,301.822µs,700.0113377308315,3.489374807s
2024-02-01 11:06:15.443735617 +0000 UTC m=+358.878758855,100000,43,1.476961ms,6.704552ms,281.603µs,677.0656327941529,3.526922136s
2024-02-01 11:06:18.977377565 +0000 UTC m=+362.412400802,100000,44,1.509075ms,6.903769ms,332.221µs,662.6573446147954,3.530036886s
2024-02-01 11:06:22.421608472 +0000 UTC m=+365.856631713,100000,45,1.509154ms,6.401551ms,310.269µs,662.6227540577885,3.440422038s
2024-02-01 11:06:25.922211268 +0000 UTC m=+369.357234509,100000,46,1.568538ms,6.303386ms,293.059µs,637.5360518419477,3.496410575s
2024-02-01 11:06:29.367809749 +0000 UTC m=+372.802832986,100000,47,1.571421ms,7.209654ms,326.77µs,636.3664691993048,3.441675558s
2024-02-01 11:06:32.714227869 +0000 UTC m=+376.149251110,100000,48,1.553067ms,6.616714ms,272.024µs,643.887148790047,3.342611977s
2024-02-01 11:06:36.057200804 +0000 UTC m=+379.492224041,100000,49,1.591379ms,6.90444ms,312.621µs,628.3856019370448,3.339382001s
