Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-02-01 11:31:38.399237661 +0000 UTC m=+9.924721433,0,0,0,0,0,0,0
2024-02-01 11:32:15.801404808 +0000 UTC m=+47.326888580,100000,1,372.281µs,4.916659ms,189.151µs,2711.734990357902,37.398493542s
2024-02-01 11:32:37.024192113 +0000 UTC m=+68.549675886,100000,2,418.606µs,7.063717ms,155.257µs,2388.876348413486,21.218144806s
2024-02-01 11:32:52.465085465 +0000 UTC m=+83.990569236,100000,3,456.858µs,3.190778ms,180.353µs,2188.8632451995218,15.437150386s
2024-02-01 11:33:04.668026612 +0000 UTC m=+96.193510383,100000,4,481.064µs,4.134024ms,163.77µs,2078.7246519778587,12.197387426s
2024-02-01 11:33:15.153728406 +0000 UTC m=+106.679212177,100000,5,516.554µs,3.322588ms,181.133µs,1935.9032920721545,10.48206494s
2024-02-01 11:33:24.52194664 +0000 UTC m=+116.047430412,100000,6,554.197µs,3.065324ms,177.614µs,1804.4123003795594,9.364701295s
2024-02-01 11:33:33.011022689 +0000 UTC m=+124.536506461,100000,7,585.53µs,3.267935ms,190.309µs,1707.8527907929426,8.485578696s
2024-02-01 11:33:40.881249854 +0000 UTC m=+132.406733625,100000,8,620.483µs,5.417168ms,178.566µs,1611.6473263884486,7.866647105s
2024-02-01 11:33:48.287875317 +0000 UTC m=+139.813359088,100000,9,656.911µs,4.909929ms,184.026µs,1522.2758517078628,7.40303212s
2024-02-01 11:33:55.28053721 +0000 UTC m=+146.806020981,100000,10,689.03µs,4.323916ms,201.078µs,1451.313709602595,6.989175881s
2024-02-01 11:34:02.013671507 +0000 UTC m=+153.539155278,100000,11,729.103µs,4.989134ms,201.474µs,1371.5468309301302,6.729496399s
2024-02-01 11:34:08.409778621 +0000 UTC m=+159.935262396,100000,12,755.786µs,3.814324ms,215.039µs,1323.1256625663807,6.392365284s
2024-02-01 11:34:14.654447923 +0000 UTC m=+166.179931695,100000,13,799.001µs,4.352207ms,204.198µs,1251.5625980250031,6.240939307s
2024-02-01 11:34:20.608133362 +0000 UTC m=+172.133617134,100000,14,819.22µs,6.455529ms,193.765µs,1220.6730268866334,5.950017622s
2024-02-01 11:34:26.36064895 +0000 UTC m=+177.886132724,100000,15,847.947µs,6.008197ms,207.225µs,1179.3178472387103,5.748101439s
2024-02-01 11:34:32.10136969 +0000 UTC m=+183.626853461,100000,16,903.203µs,5.996261ms,212.619µs,1107.1707292244748,5.737110251s
2024-02-01 11:34:37.631157118 +0000 UTC m=+189.156640890,100000,17,923.927µs,5.347751ms,221.362µs,1082.3364470754645,5.526223396s
2024-02-01 11:34:42.965836479 +0000 UTC m=+194.491320254,100000,18,943.406µs,4.829054ms,202.373µs,1059.9884828263664,5.331090092s
2024-02-01 11:34:48.247463535 +0000 UTC m=+199.772947306,100000,19,985.581µs,5.63462ms,224.612µs,1014.6298431507859,5.277713179s
2024-02-01 11:34:53.405959678 +0000 UTC m=+204.931443458,100000,20,1.01185ms,5.312564ms,240.169µs,988.2878350712131,5.154110733s
2024-02-01 11:34:58.355936602 +0000 UTC m=+209.881420375,100000,21,1.020048ms,17.076879ms,216.44µs,980.3455281501607,4.946448325s
2024-02-01 11:35:03.110916735 +0000 UTC m=+214.636400506,100000,22,1.02591ms,5.101151ms,240.761µs,974.7442261040169,4.751329832s
2024-02-01 11:35:07.793565355 +0000 UTC m=+219.319049126,100000,23,1.056101ms,4.634707ms,231.134µs,946.8786912571486,4.679045883s
2024-02-01 11:35:12.329430621 +0000 UTC m=+223.854914399,100000,24,1.066913ms,5.673118ms,239.276µs,937.2834109413728,4.53213144s
2024-02-01 11:35:16.766411746 +0000 UTC m=+228.291895521,100000,25,1.086811ms,5.526077ms,186.93µs,920.1228817299641,4.433362797s
2024-02-01 11:35:21.161950791 +0000 UTC m=+232.687434561,100000,26,1.11941ms,5.396765ms,226.482µs,893.3271001027566,4.392050791s
2024-02-01 11:35:25.494248801 +0000 UTC m=+237.019732572,100000,27,1.144668ms,5.609872ms,217.257µs,873.6154075237539,4.328777874s
2024-02-01 11:35:29.764447185 +0000 UTC m=+241.289930959,100000,28,1.17019ms,5.63985ms,223.262µs,854.5614485141067,4.266739398s
2024-02-01 11:35:34.001790786 +0000 UTC m=+245.527274588,100000,29,1.201583ms,5.48559ms,224.768µs,832.2353486070796,4.233668512s
2024-02-01 11:35:38.111719071 +0000 UTC m=+249.637202842,100000,30,1.205265ms,6.602984ms,251.657µs,829.6929699072623,4.105713378s
2024-02-01 11:35:42.176885447 +0000 UTC m=+253.702369218,100000,31,1.231119ms,7.085579ms,241.696µs,812.2690694362919,4.061000742s
2024-02-01 11:35:46.231372943 +0000 UTC m=+257.756856715,100000,32,1.266992ms,7.205956ms,217.596µs,789.270501100752,4.050981978s
2024-02-01 11:35:50.170562318 +0000 UTC m=+261.696046089,100000,33,1.27193ms,5.092768ms,239.695µs,786.2067181813732,3.935521972s
2024-02-01 11:35:54.192735915 +0000 UTC m=+265.718219686,100000,34,1.334508ms,7.417862ms,246.342µs,749.3393319656949,4.018587619s
2024-02-01 11:35:58.075108688 +0000 UTC m=+269.600592468,100000,35,1.328774ms,6.049854ms,223.33µs,752.5731327566323,3.878069809s
2024-02-01 11:36:01.934687724 +0000 UTC m=+273.460171502,100000,36,1.359024ms,8.54488ms,241.148µs,735.8216967340221,3.856006384s
2024-02-01 11:36:05.697564436 +0000 UTC m=+277.223048212,100000,37,1.360541ms,7.044134ms,261.548µs,735.0015953943528,3.759209922s
2024-02-01 11:36:09.540899756 +0000 UTC m=+281.066383528,100000,38,1.4268ms,6.097615ms,259.412µs,700.868996133853,3.8397471s
2024-02-01 11:36:13.348511173 +0000 UTC m=+284.873994947,100000,39,1.452817ms,5.996426ms,271.994µs,688.3177739032628,3.803974223s
2024-02-01 11:36:17.110669484 +0000 UTC m=+288.636153255,100000,40,1.467652ms,6.700536ms,229.84µs,681.3599779040678,3.75849574s
2024-02-01 11:36:20.826844403 +0000 UTC m=+292.352328175,100000,41,1.489509ms,8.413628ms,277.124µs,671.3620067693045,3.712469498s
2024-02-01 11:36:24.555039455 +0000 UTC m=+296.080523226,100000,42,1.530197ms,6.614506ms,292.02µs,653.5102825109317,3.724598466s
2024-02-01 11:36:28.177538577 +0000 UTC m=+299.703022350,100000,43,1.522832ms,6.287347ms,237.197µs,656.6710919935781,3.617293078s
2024-02-01 11:36:31.773600614 +0000 UTC m=+303.299084385,100000,44,1.543329ms,6.631674ms,216.458µs,647.9496380979468,3.592092891s
2024-02-01 11:36:35.283465201 +0000 UTC m=+306.808948972,100000,45,1.543708ms,7.271991ms,274.994µs,647.7908491437192,3.506378054s
2024-02-01 11:36:38.788566791 +0000 UTC m=+310.314050563,100000,46,1.574791ms,7.355716ms,238.194µs,635.0048062793057,3.501580278s
2024-02-01 11:36:42.291381465 +0000 UTC m=+313.816865237,100000,47,1.604537ms,6.96953ms,256.238µs,623.2324512357765,3.499141094s
2024-02-01 11:36:45.77140132 +0000 UTC m=+317.296885097,100000,48,1.62898ms,8.007277ms,257.01µs,613.8807124559246,3.47576533s
2024-02-01 11:36:49.200152338 +0000 UTC m=+320.725636109,100000,49,1.634317ms,8.33954ms,284.922µs,611.8761082684255,3.42395731s
2024-02-01 11:36:52.618231246 +0000 UTC m=+324.143715017,100000,50,1.668311ms,6.882127ms,252.573µs,599.4084418414882,3.414502963s
2024-02-01 11:36:56.059096065 +0000 UTC m=+327.584579836,100000,51,1.711389ms,6.364933ms,264.404µs,584.3205072730074,3.437211078s
2024-02-01 11:36:59.419206495 +0000 UTC m=+330.944690265,100000,52,1.702664ms,7.194342ms,304.35µs,587.3149359802234,3.356632248s
2024-02-01 11:37:02.74042376 +0000 UTC m=+334.265907531,100000,53,1.716651ms,6.067995ms,271.472µs,582.5295159461626,3.316424721s
2024-02-01 11:37:06.06239429 +0000 UTC m=+337.587878061,100000,54,1.748185ms,8.549399ms,266.253µs,572.0218277460087,3.318196177s
2024-02-01 11:37:09.341441467 +0000 UTC m=+340.866925239,100000,55,1.755798ms,6.96646ms,280.583µs,569.5413177600891,3.275281719s
2024-02-01 11:37:12.657218116 +0000 UTC m=+344.182701887,100000,56,1.809089ms,8.443478ms,299.292µs,552.7641594487588,3.312203585s
2024-02-01 11:37:15.917291043 +0000 UTC m=+347.442774814,100000,57,1.807264ms,7.593375ms,294.894µs,553.3225832676846,3.256443027s
2024-02-01 11:37:19.170515394 +0000 UTC m=+350.695999169,100000,58,1.837829ms,8.563315ms,252.581µs,544.1200018401539,3.249743626s
2024-02-01 11:37:22.363141103 +0000 UTC m=+353.888624875,100000,59,1.834591ms,7.306729ms,290.753µs,545.0803852785197,3.189028546s
2024-02-01 11:37:25.629246742 +0000 UTC m=+357.154730514,100000,60,1.904695ms,7.290113ms,274.45µs,525.0183571846935,3.262396644s
2024-02-01 11:37:28.90240875 +0000 UTC m=+360.427892522,100000,61,1.942207ms,11.817254ms,299.52µs,514.8779406025768,3.269050096s
2024-02-01 11:37:32.05754417 +0000 UTC m=+363.583027941,100000,62,1.906722ms,8.739406ms,310.987µs,524.4600608788223,3.151532651s
2024-02-01 11:37:35.224418805 +0000 UTC m=+366.749902576,100000,63,1.941669ms,9.302013ms,320.21µs,515.0205840611677,3.16333132s
2024-02-01 11:37:38.378622579 +0000 UTC m=+369.904106354,100000,64,1.964329ms,7.775412ms,281.958µs,509.07959723451876,3.150686991s
2024-02-01 11:37:41.52860159 +0000 UTC m=+373.054085362,100000,65,1.993346ms,8.775043ms,323.527µs,501.66882503024834,3.146335528s
2024-02-01 11:37:44.662693687 +0000 UTC m=+376.188177460,100000,66,2.019286ms,8.41685ms,269.066µs,495.2244912030458,3.13053515s
2024-02-01 11:37:47.733855346 +0000 UTC m=+379.259339118,100000,67,2.004639ms,9.46581ms,306.644µs,498.84291054061237,3.067640237s
2024-02-01 11:37:50.794161715 +0000 UTC m=+382.319645486,100000,68,2.028186ms,9.377574ms,337.232µs,493.05133062903974,3.056464348s
2024-02-01 11:37:53.899225693 +0000 UTC m=+385.424709465,100000,69,2.088477ms,8.85819ms,268.245µs,478.81777892067214,3.101560286s
2024-02-01 11:37:56.981305035 +0000 UTC m=+388.506788811,100000,70,2.10701ms,8.276068ms,316.955µs,474.6061751082903,3.078312589s
2024-02-01 11:38:00.089810415 +0000 UTC m=+391.615294187,100000,71,2.146744ms,9.794409ms,341.698µs,465.8215577831223,3.104741056s
2024-02-01 11:38:03.169045329 +0000 UTC m=+394.694529100,100000,72,2.158425ms,8.377671ms,291.909µs,463.3007259782728,3.075119384s
2024-02-01 11:38:06.201552834 +0000 UTC m=+397.727036617,100000,73,2.157637ms,10.714096ms,369.105µs,463.46990461305364,3.027155328s
2024-02-01 11:38:09.201851811 +0000 UTC m=+400.727335582,100000,74,2.157415ms,9.38658ms,348.753µs,463.5175330862603,2.996678766s
2024-02-01 11:38:12.181972418 +0000 UTC m=+403.707456190,100000,75,2.17752ms,8.084151ms,361.338µs,459.2378457711191,2.975963677s
2024-02-01 11:38:15.160968068 +0000 UTC m=+406.686451839,100000,76,2.203715ms,8.057944ms,311.51µs,453.7790797181549,2.975458913s
2024-02-01 11:38:18.20072389 +0000 UTC m=+409.726207661,100000,77,2.275942ms,8.267534ms,283.762µs,439.3783254681502,3.036030535s
2024-02-01 11:38:21.257801391 +0000 UTC m=+412.783285168,100000,78,2.322791ms,8.170556ms,331.458µs,430.5164853920569,3.053477914s
2024-02-01 11:38:24.242234382 +0000 UTC m=+415.767718157,100000,79,2.296586ms,9.889711ms,350.846µs,435.4287666064158,2.980627837s
2024-02-01 11:38:27.239590189 +0000 UTC m=+418.765073963,100000,80,2.327562ms,12.034958ms,385.969µs,429.63394687215833,2.993739112s
2024-02-01 11:38:30.212704587 +0000 UTC m=+421.738188369,100000,81,2.33706ms,9.500468ms,303.964µs,427.88794210147665,2.969076891s
2024-02-01 11:38:33.191138285 +0000 UTC m=+424.716622067,100000,82,2.376916ms,8.627907ms,351.836µs,420.713068879641,2.974886344s
2024-02-01 11:38:36.169330475 +0000 UTC m=+427.694814247,100000,83,2.398736ms,9.465545ms,328.283µs,416.88615697123225,2.974601974s
2024-02-01 11:38:39.156029651 +0000 UTC m=+430.681513426,100000,84,2.442117ms,8.834759ms,328.359µs,409.4807591224364,2.983237414s
2024-02-01 11:38:42.113807931 +0000 UTC m=+433.639291703,100000,85,2.452131ms,9.367095ms,321.437µs,407.80852904729085,2.953742362s
2024-02-01 11:38:45.049525531 +0000 UTC m=+436.575009302,100000,86,2.453474ms,10.067349ms,321.752µs,407.58518916046364,2.932014183s
2024-02-01 11:38:47.958608789 +0000 UTC m=+439.484092560,100000,87,2.45659ms,10.026805ms,366.183µs,407.0682351717106,2.905213548s
2024-02-01 11:38:50.871976433 +0000 UTC m=+442.397460205,100000,88,2.494596ms,9.922172ms,331.46µs,400.86638976221496,2.909517544s
2024-02-01 11:38:53.849269397 +0000 UTC m=+445.374753168,100000,89,2.576229ms,11.948333ms,311.27µs,388.1641510342952,2.973472999s
2024-02-01 11:38:56.777503807 +0000 UTC m=+448.302987578,100000,90,2.562994ms,9.896901ms,410.714µs,390.1686795117866,2.924688061s
2024-02-01 11:38:59.716828033 +0000 UTC m=+451.242311804,100000,91,2.599264ms,11.894479ms,355.794µs,384.7241899920951,2.934504124s
2024-02-01 11:39:02.573042062 +0000 UTC m=+454.098525833,100000,92,2.555585ms,9.156741ms,385.99µs,391.2997099229672,2.852657712s
2024-02-01 11:39:05.448386369 +0000 UTC m=+456.973870141,100000,93,2.604305ms,8.239489ms,321.782µs,383.979539561397,2.871658604s
2024-02-01 11:39:08.306178411 +0000 UTC m=+459.831662186,100000,94,2.606474ms,9.568809ms,402.147µs,383.6599967212043,2.854226477s
