Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-02-05 15:32:39.724129261 +0000 UTC m=+13.987573371,0,0,0,0,0,0,0
2024-02-05 15:33:28.97916542 +0000 UTC m=+63.242609528,100000,1,486.945µs,6.549842ms,239.593µs,2053.616966128626,49.251249098s
2024-02-05 15:33:57.495644325 +0000 UTC m=+91.759088437,100000,2,564.379µs,5.275158ms,221.674µs,1771.8560237411966,28.512917256s
2024-02-05 15:34:18.859537096 +0000 UTC m=+113.122981202,100000,3,634.618µs,4.142998ms,225.599µs,1575.74931267334,21.359954132s
2024-02-05 15:34:36.349937132 +0000 UTC m=+130.613381225,100000,4,692.781µs,10.770121ms,224.956µs,1443.4561483931195,17.486838351s
2024-02-05 15:34:51.592000927 +0000 UTC m=+145.855445034,100000,5,754.812µs,3.979947ms,232.739µs,1324.8323259789593,15.238017936s
2024-02-05 15:35:05.183835465 +0000 UTC m=+159.447279572,100000,6,808.058µs,5.349597ms,249.59µs,1237.5335962451077,13.588300717s
2024-02-05 15:35:17.845040577 +0000 UTC m=+172.108484684,100000,7,878.17µs,6.156469ms,263.564µs,1138.7307397622046,12.657514484s
2024-02-05 15:35:29.71859209 +0000 UTC m=+183.982036197,100000,8,941.15µs,7.964074ms,246.978µs,1062.5289310968917,11.869935665s
2024-02-05 15:35:40.815330503 +0000 UTC m=+195.078774610,100000,9,989.151µs,12.592161ms,266.301µs,1010.9675413837347,11.091643011s
2024-02-05 15:35:51.311896507 +0000 UTC m=+205.575340614,100000,10,1.039827ms,8.384121ms,258.842µs,961.6976249181238,10.491548342s
2024-02-05 15:36:01.167114841 +0000 UTC m=+215.430558948,100000,11,1.074343ms,8.825587ms,275.439µs,930.8007870052717,9.849928845s
2024-02-05 15:36:10.661260792 +0000 UTC m=+224.924704900,100000,12,1.129076ms,8.154077ms,244.358µs,885.6793359113832,9.490443753s
2024-02-05 15:36:19.902873105 +0000 UTC m=+234.166317212,100000,13,1.190479ms,9.563657ms,278.158µs,839.9979664912588,9.238113519s
2024-02-05 15:36:28.983420106 +0000 UTC m=+243.246864212,100000,14,1.260059ms,8.941506ms,276.079µs,793.6131173530331,9.076871266s
2024-02-05 15:36:37.859274906 +0000 UTC m=+252.122719017,100000,15,1.318857ms,9.171192ms,301.871µs,758.2321849064276,8.871619088s
2024-02-05 15:36:46.497044105 +0000 UTC m=+260.760488215,100000,16,1.368405ms,7.212153ms,307.302µs,730.7777054341368,8.6341848s
2024-02-05 15:36:55.217687413 +0000 UTC m=+269.481131520,100000,17,1.468187ms,11.264612ms,317.57µs,681.1117682662941,8.717070438s
2024-02-05 15:37:03.781431421 +0000 UTC m=+278.044875529,100000,18,1.526489ms,8.999455ms,334.844µs,655.0978057593907,8.559886307s
2024-02-05 15:37:12.160586033 +0000 UTC m=+286.424030140,100000,19,1.575151ms,13.968163ms,303.969µs,634.8597635507301,8.37385815s
2024-02-05 15:37:20.442411092 +0000 UTC m=+294.705855200,100000,20,1.640128ms,16.732601ms,315.992µs,609.7082627505123,8.278264672s
2024-02-05 15:37:28.64774077 +0000 UTC m=+302.911184884,100000,21,1.705635ms,15.048959ms,325.2µs,586.2918866661497,8.20185065s
2024-02-05 15:37:36.709835651 +0000 UTC m=+310.973279758,100000,22,1.75589ms,11.876044ms,306.42µs,569.5114368723961,8.058548253s
2024-02-05 15:37:44.587607945 +0000 UTC m=+318.851052055,100000,23,1.793777ms,14.192769ms,297.295µs,557.482790770886,7.874209849s
2024-02-05 15:37:52.414571713 +0000 UTC m=+326.678015820,100000,24,1.859433ms,18.954615ms,311.446µs,537.7982378567119,7.823364227s
2024-02-05 15:38:00.148166605 +0000 UTC m=+334.411610712,100000,25,1.913531ms,62.081398ms,317.779µs,522.5939711129128,7.730079888s
2024-02-05 15:38:07.793018571 +0000 UTC m=+342.056462678,100000,26,1.96813ms,20.326112ms,355.423µs,508.09645531474746,7.640608431s
2024-02-05 15:38:15.435391295 +0000 UTC m=+349.698835405,100000,27,2.043191ms,12.564565ms,357.198µs,489.43028372298596,7.638660256s
2024-02-05 15:38:22.968006173 +0000 UTC m=+357.231450284,100000,28,2.087543ms,15.47017ms,334.453µs,479.0319554307548,7.528780365s
2024-02-05 15:38:30.493874047 +0000 UTC m=+364.757318154,100000,29,2.161857ms,10.827758ms,362.907µs,462.56523170931723,7.522279533s
2024-02-05 15:38:38.063084745 +0000 UTC m=+372.326528852,100000,30,2.248359ms,13.145491ms,337.572µs,444.7687098130505,7.563769578s
2024-02-05 15:38:45.519253386 +0000 UTC m=+379.782697496,100000,31,2.288539ms,19.2701ms,293.195µs,436.95997638995766,7.452366244s
2024-02-05 15:38:52.825289237 +0000 UTC m=+387.088733344,100000,32,2.313402ms,14.690892ms,354.93µs,432.26377340200384,7.302569979s
2024-02-05 15:39:00.198072157 +0000 UTC m=+394.461516264,100000,33,2.409731ms,23.131448ms,331.286µs,414.98404783631423,7.369078287s
2024-02-05 15:39:07.487906152 +0000 UTC m=+401.751350259,100000,34,2.454448ms,15.071119ms,338.969µs,407.4235240225657,7.286275122s
2024-02-05 15:39:14.762972909 +0000 UTC m=+409.026417016,100000,35,2.520401ms,14.279189ms,352.946µs,396.76223100448817,7.271365633s
2024-02-05 15:39:21.944206116 +0000 UTC m=+416.207650224,100000,36,2.55949ms,16.87856ms,355.994µs,390.70273347718023,7.177632118s
2024-02-05 15:39:29.118785623 +0000 UTC m=+423.382229730,100000,37,2.628101ms,16.739063ms,365.88µs,380.50280852174797,7.168892556s
2024-02-05 15:39:36.31603675 +0000 UTC m=+430.579480860,100000,38,2.708524ms,19.07867ms,307.58µs,369.20475870189875,7.193650646s
2024-02-05 15:39:43.44376315 +0000 UTC m=+437.707207258,100000,39,2.752196ms,15.121718ms,388.715µs,363.34610285011297,7.123881565s
