Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-02-01 14:57:36.999940233 +0000 UTC m=+47.855343808,0,0,0,0,0,0,0
2024-02-01 14:58:20.913075935 +0000 UTC m=+91.768479510,100000,1,433.419µs,5.768197ms,217.1µs,2307.2360373900588,43.909087776s
2024-02-01 14:58:47.038467021 +0000 UTC m=+117.893870596,100000,2,516.084µs,4.6192ms,210.027µs,1937.666711122864,26.121520135s
2024-02-01 14:59:06.751994291 +0000 UTC m=+137.607397866,100000,3,584.615µs,3.446391ms,219.298µs,1710.5256761158903,19.70977531s
2024-02-01 14:59:23.100966204 +0000 UTC m=+153.956369778,100000,4,646.535µs,4.742168ms,239.261µs,1546.7057482748246,16.345330194s
2024-02-01 14:59:37.432059401 +0000 UTC m=+168.287462976,100000,5,709.041µs,4.220598ms,207.061µs,1410.3556596367325,14.327099322s
2024-02-01 14:59:50.357117972 +0000 UTC m=+181.212521547,100000,6,767.241µs,7.423087ms,243.498µs,1303.3706915728892,12.92135304s
2024-02-01 15:00:02.289282305 +0000 UTC m=+193.144685880,100000,7,826.586µs,5.941775ms,258.493µs,1209.7945551613416,11.928603199s
2024-02-01 15:00:13.371604352 +0000 UTC m=+204.227007928,100000,8,877.494µs,6.614809ms,256.891µs,1139.6088852532523,11.077887457s
2024-02-01 15:00:23.854727876 +0000 UTC m=+214.710131455,100000,9,934.142µs,5.091269ms,258.548µs,1070.5004294953274,10.477539043s
2024-02-01 15:00:33.816106538 +0000 UTC m=+224.671510113,100000,10,986.228µs,5.64104ms,267.247µs,1013.9635149712504,9.9578652s
2024-02-01 15:00:43.526984612 +0000 UTC m=+234.382388187,100000,11,1.05803ms,7.174523ms,246.267µs,945.1521696160345,9.707023603s
2024-02-01 15:00:52.904805202 +0000 UTC m=+243.760208777,100000,12,1.114758ms,9.107765ms,257.191µs,897.0551951109284,9.374071168s
2024-02-01 15:01:01.915894383 +0000 UTC m=+252.771297958,100000,13,1.159815ms,7.632498ms,262.16µs,862.2059004414264,9.006640592s
2024-02-01 15:01:10.736414785 +0000 UTC m=+261.591818360,100000,14,1.222311ms,7.008621ms,265.465µs,818.1220350327042,8.816351997s
2024-02-01 15:01:19.319774125 +0000 UTC m=+270.175177700,100000,15,1.27418ms,11.107063ms,242.362µs,784.8183294456396,8.579444064s
2024-02-01 15:01:27.641164583 +0000 UTC m=+278.496568158,100000,16,1.317897ms,7.151699ms,241.846µs,758.7844714680123,8.317919724s
2024-02-01 15:01:35.716421182 +0000 UTC m=+286.571824760,100000,17,1.358709ms,6.882236ms,294.058µs,735.9924630024134,8.071648647s
2024-02-01 15:01:44.022219274 +0000 UTC m=+294.877622849,100000,18,1.479255ms,7.99913ms,291.79µs,676.0156229531361,8.301970387s
2024-02-01 15:01:52.070589603 +0000 UTC m=+302.925993178,100000,19,1.512933ms,16.244608ms,264.015µs,660.9673938730009,8.043510353s
2024-02-01 15:01:59.912379835 +0000 UTC m=+310.767783410,100000,20,1.551868ms,9.132294ms,287.869µs,644.3843535964292,7.838131858s
2024-02-01 15:02:07.663364298 +0000 UTC m=+318.518767873,100000,21,1.61035ms,11.648305ms,305.725µs,620.9828869627171,7.747382383s
2024-02-01 15:02:15.384699385 +0000 UTC m=+326.240102960,100000,22,1.680416ms,13.082702ms,288.587µs,595.090732250591,7.717686694s
2024-02-01 15:02:23.110605359 +0000 UTC m=+333.966008937,100000,23,1.759407ms,10.772268ms,290.358µs,568.3730975566106,7.721938388s
2024-02-01 15:02:30.581085044 +0000 UTC m=+341.436488619,100000,24,1.77384ms,8.73722ms,276.73µs,563.7485144320983,7.467007989s
2024-02-01 15:02:37.990833608 +0000 UTC m=+348.846237183,100000,25,1.832459ms,14.271278ms,311.468µs,545.7147021859561,7.405774556s
2024-02-01 15:02:45.270631616 +0000 UTC m=+356.126035191,100000,26,1.873807ms,10.420428ms,304.665µs,533.6726943025105,7.275995692s
2024-02-01 15:02:52.452208095 +0000 UTC m=+363.307611670,100000,27,1.920072ms,11.417178ms,264.063µs,520.8137862723727,7.177888049s
2024-02-01 15:02:59.539643846 +0000 UTC m=+370.395047421,100000,28,1.964029ms,12.363524ms,310.447µs,509.1572852763509,7.083663681s
2024-02-01 15:03:06.631954358 +0000 UTC m=+377.487357933,100000,29,2.035462ms,18.0695ms,297.872µs,491.2888663741787,7.088578934s
2024-02-01 15:03:13.72307485 +0000 UTC m=+384.578478426,100000,30,2.104727ms,17.718593ms,309.344µs,475.1208934899573,7.085689916s
2024-02-01 15:03:20.76832421 +0000 UTC m=+391.623727788,100000,31,2.161461ms,15.4953ms,313.199µs,462.65002866616754,7.041573845s
2024-02-01 15:03:27.82486857 +0000 UTC m=+398.680272145,100000,32,2.235725ms,16.115564ms,307.594µs,447.28213281393033,7.053060581s
2024-02-01 15:03:34.754657387 +0000 UTC m=+405.610060965,100000,33,2.264331ms,13.418523ms,305.266µs,441.6313683453173,6.925954231s
2024-02-01 15:03:41.743633066 +0000 UTC m=+412.599036641,100000,34,2.351137ms,105.385095ms,310.546µs,425.32600643298207,6.985427495s
2024-02-01 15:03:48.556264017 +0000 UTC m=+419.411667592,100000,35,2.360577ms,16.462632ms,324.894µs,423.62511932600717,6.808980344s
2024-02-01 15:03:55.354772652 +0000 UTC m=+426.210176231,100000,36,2.421985ms,17.843485ms,269.07µs,412.8843407533114,6.79487046s
