Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-02-07 09:08:48.029715668 +0000 UTC m=+9.584528994,0,0,0,0,0,0,0
2024-02-07 09:11:46.208915864 +0000 UTC m=+23.563506361,0,0,0,0,0,0,0
2024-02-07 09:12:23.329101529 +0000 UTC m=+60.683692016,100000,1,365.893µs,4.749326ms,181.144µs,2733.03936236115,37.116142437s
2024-02-07 09:12:44.74835822 +0000 UTC m=+82.102948706,100000,2,422.072µs,4.626494ms,167.611µs,2369.2625497589897,21.413507839s
2024-02-07 09:13:00.463643775 +0000 UTC m=+97.818234261,100000,3,464.414µs,4.556855ms,169.562µs,2153.2483233447592,15.709836971s
2024-02-07 09:13:12.723589546 +0000 UTC m=+110.078180151,100000,4,482.857µs,4.777851ms,168.883µs,2071.0027799581853,12.256383077s
2024-02-07 09:13:23.284840138 +0000 UTC m=+120.639430626,100000,5,519.787µs,5.387916ms,170.026µs,1923.8633656781376,10.556978853s
2024-02-07 09:13:32.747146567 +0000 UTC m=+130.101737063,100000,6,558.986µs,4.300653ms,182.444µs,1788.952535016946,9.457011464s
2024-02-07 09:13:41.473759655 +0000 UTC m=+138.828350141,100000,7,601.642µs,4.547847ms,179.603µs,1662.117629779433,8.723084118s
2024-02-07 09:13:49.495753973 +0000 UTC m=+146.850344463,100000,8,631.932µs,4.238312ms,191.037µs,1582.4472454058048,8.018138081s
2024-02-07 09:13:56.96457289 +0000 UTC m=+154.319163376,100000,9,661.916µs,5.370443ms,174.252µs,1510.76512252081,7.465162171s
2024-02-07 09:14:03.879580241 +0000 UTC m=+161.234170728,100000,10,680.385µs,4.869033ms,185.097µs,1469.7547380089998,6.911311214s
2024-02-07 09:14:10.389441111 +0000 UTC m=+167.744031597,100000,11,704.529µs,4.197703ms,171.559µs,1419.3874664294367,6.504914977s
2024-02-07 09:14:16.749839116 +0000 UTC m=+174.104429606,100000,12,750.22µs,4.134218ms,192.731µs,1332.940673839062,6.356658325s
2024-02-07 09:14:22.726643322 +0000 UTC m=+180.081233814,100000,13,764.014µs,4.521058ms,187.357µs,1308.8758296646483,5.973188323s
2024-02-07 09:14:28.489617275 +0000 UTC m=+185.844207761,100000,14,792.727µs,4.97329ms,200.421µs,1261.4670930921518,5.75939281s
2024-02-07 09:14:34.093149146 +0000 UTC m=+191.447739632,100000,15,825.197µs,4.523459ms,197.296µs,1211.8312602227293,5.597640462s
2024-02-07 09:14:39.529431357 +0000 UTC m=+196.884021843,100000,16,854.368µs,4.217595ms,186.387µs,1170.455797368347,5.432717425s
2024-02-07 09:14:44.875030513 +0000 UTC m=+202.229620999,100000,17,893.667µs,5.998092ms,184.144µs,1118.984836386803,5.341998755s
2024-02-07 09:14:50.134808426 +0000 UTC m=+207.489398912,100000,18,929.309µs,4.950751ms,194.754µs,1076.0682145233964,5.256234817s
2024-02-07 09:14:55.291264523 +0000 UTC m=+212.645855009,100000,19,961.181µs,5.702046ms,223.755µs,1040.38578833396,5.15247691s
2024-02-07 09:15:00.219732069 +0000 UTC m=+217.574322558,100000,20,967.082µs,4.633748ms,218.872µs,1034.0382142928233,4.924602925s
2024-02-07 09:15:05.0419132 +0000 UTC m=+222.396503685,100000,21,992.352µs,7.296336ms,187.706µs,1007.7062855854199,4.816860463s
2024-02-07 09:15:09.644956004 +0000 UTC m=+226.999546490,100000,22,991.73µs,4.826494ms,228.931µs,1008.338720924848,4.599347277s
2024-02-07 09:15:14.219219675 +0000 UTC m=+231.573810166,100000,23,1.030048ms,10.928855ms,222.323µs,970.8276743176575,4.570650954s
2024-02-07 09:15:18.772272881 +0000 UTC m=+236.126863367,100000,24,1.070725ms,4.877938ms,202.158µs,933.9459308442281,4.547932822s
2024-02-07 09:15:23.236664461 +0000 UTC m=+240.591254947,100000,25,1.093631ms,6.200275ms,224.961µs,914.385002251363,4.46025829s
