Timestamp,Total Requests,Concurrent Requests,Average Latency,Max Latency,Min Latency,Avg. Throughput req/s,Time Elapsed
2024-05-02 11:44:41.959750033 +0000 UTC m=+79.290021743,0,0,0,0,0,0,0
2024-05-02 11:45:55.135192343 +0000 UTC m=+152.465464055,100000,1,720.488µs,13.977964ms,405.518µs,1387.9471105239863,1m13.171750188s
2024-05-02 11:46:32.660790235 +0000 UTC m=+189.991061937,100000,2,738.421µs,4.878781ms,367.338µs,1354.2409566056153,37.521943541s
2024-05-02 11:47:00.300094391 +0000 UTC m=+217.630366095,100000,3,817.201µs,6.561331ms,370.142µs,1223.6879731602555,27.63573086s
2024-05-02 11:47:22.802277372 +0000 UTC m=+240.132549075,100000,4,888.043µs,4.812662ms,367.004µs,1126.070398056095,22.49856821s
2024-05-02 11:47:42.772693262 +0000 UTC m=+260.102964964,100000,5,986.227µs,5.580473ms,381.325µs,1013.9653148562415,19.966930939s
2024-05-02 11:48:00.916308807 +0000 UTC m=+278.246580510,100000,6,1.075624ms,8.005525ms,386.598µs,929.6920941287561,18.1401043s
2024-05-02 11:48:17.929631269 +0000 UTC m=+295.259902975,100000,7,1.177213ms,5.989085ms,396.441µs,849.4636556550452,17.009672719s
2024-05-02 11:48:33.76521876 +0000 UTC m=+311.095490463,100000,8,1.252311ms,9.176915ms,392.434µs,798.5231291919774,15.831921566s
2024-05-02 11:48:48.680472728 +0000 UTC m=+326.010744431,100000,9,1.327729ms,6.843842ms,413.996µs,753.1652144229173,14.911622515s
2024-05-02 11:49:02.558462278 +0000 UTC m=+339.888733981,100000,10,1.371996ms,8.623267ms,412.876µs,728.8649936732023,13.874450719s
2024-05-02 11:49:15.637194705 +0000 UTC m=+352.967466408,100000,11,1.42257ms,8.922309ms,398.16µs,702.9529973807275,13.075056872s
2024-05-02 11:49:28.33763882 +0000 UTC m=+365.667910526,100000,12,1.505971ms,8.506899ms,417.797µs,664.0231236865932,12.696832215s
2024-05-02 11:49:40.73262738 +0000 UTC m=+378.062899082,100000,13,1.592607ms,10.468754ms,443.762µs,627.9012898515493,12.391393814s
2024-05-02 11:49:52.62513629 +0000 UTC m=+389.955407996,100000,14,1.644158ms,15.528755ms,458.177µs,608.21390925637,11.889033939s
2024-05-02 11:50:04.070798588 +0000 UTC m=+401.401070289,100000,15,1.695903ms,10.638547ms,404.439µs,589.656110007796,11.442110031s
2024-05-02 11:50:15.298466191 +0000 UTC m=+412.628737892,100000,16,1.773409ms,10.169627ms,450.378µs,563.8855847058677,11.224009916s
2024-05-02 11:50:26.372481819 +0000 UTC m=+423.702753521,100000,17,1.8575ms,9.410964ms,460.518µs,538.3579796228248,11.070176881s
2024-05-02 11:50:37.017897177 +0000 UTC m=+434.348168880,100000,18,1.890398ms,9.174869ms,444.712µs,528.9889005528572,10.641806847s
2024-05-02 11:50:47.436311363 +0000 UTC m=+444.766583065,100000,19,1.951522ms,10.137234ms,414.45µs,512.4203883013056,10.41486171s
2024-05-02 11:50:57.854295533 +0000 UTC m=+455.184567235,100000,20,2.057219ms,12.779882ms,445.921µs,486.09307924664023,10.414532716s
2024-05-02 11:51:08.090080536 +0000 UTC m=+465.420352238,100000,21,2.120672ms,10.237918ms,453.816µs,471.54861921867786,10.232304461s
2024-05-02 11:51:18.150914875 +0000 UTC m=+475.481186578,100000,22,2.184029ms,12.816331ms,473.06µs,457.86923576378626,10.057304234s
2024-05-02 11:51:28.092585395 +0000 UTC m=+485.422857098,100000,23,2.256937ms,11.721753ms,488.36µs,443.078204539799,9.93813447s
2024-05-02 11:51:37.802188311 +0000 UTC m=+495.132460016,100000,24,2.298648ms,14.176008ms,466.291µs,435.0382900179725,9.706229987s
2024-05-02 11:51:47.429362304 +0000 UTC m=+504.759634005,100000,25,2.373932ms,11.668922ms,475.986µs,421.24194855472587,9.623633294s
2024-05-02 11:51:56.89334118 +0000 UTC m=+514.223612881,100000,26,2.427129ms,11.301571ms,454.807µs,412.00934465469055,9.460481841s
2024-05-02 11:52:06.205849599 +0000 UTC m=+523.536121302,100000,27,2.480029ms,12.600467ms,464.642µs,403.2210168053978,9.309000828s
2024-05-02 11:52:15.548193105 +0000 UTC m=+532.878464808,100000,28,2.581375ms,12.440752ms,493.171µs,387.3904029987333,9.33867472s
2024-05-02 11:52:24.719037806 +0000 UTC m=+542.049309509,100000,29,2.622385ms,13.015421ms,484.207µs,381.3321574227763,9.167308724s
2024-05-02 11:52:33.780814381 +0000 UTC m=+551.111086082,100000,30,2.681016ms,13.099664ms,468.618µs,372.9929196207212,9.058125956s
2024-05-02 11:52:42.832005828 +0000 UTC m=+560.162277529,100000,31,2.764637ms,13.557574ms,496.913µs,361.711060208559,9.047543558s
2024-05-02 11:52:51.805041021 +0000 UTC m=+569.135312724,100000,32,2.829909ms,11.720829ms,461.365µs,353.3681773635982,8.969453862s
2024-05-02 11:53:00.710966807 +0000 UTC m=+578.041238513,100000,33,2.8948ms,14.353393ms,543.386µs,345.4469964191703,8.902443209s
2024-05-02 11:53:09.50364503 +0000 UTC m=+586.833916731,100000,34,2.945421ms,12.86785ms,537.395µs,339.51000923900483,8.789085451s
2024-05-02 11:53:18.312648086 +0000 UTC m=+595.642919787,100000,35,3.037157ms,17.107277ms,485.16µs,329.255242900725,8.80539252s
2024-05-02 11:53:27.082332748 +0000 UTC m=+604.412604451,100000,36,3.108117ms,13.973852ms,477.373µs,321.73810892884853,8.766169635s
2024-05-02 11:53:35.946744631 +0000 UTC m=+613.277016337,100000,37,3.229127ms,15.01182ms,512.833µs,309.68114601027867,8.860351693s
2024-05-02 11:53:44.700056538 +0000 UTC m=+622.030328241,100000,38,3.279357ms,16.124843ms,513.909µs,304.93774615019987,8.74983612s
2024-05-02 11:53:53.308915929 +0000 UTC m=+630.639187632,100000,39,3.306636ms,17.632251ms,457.559µs,302.42208532753966,8.605247586s
2024-05-02 11:54:01.896780865 +0000 UTC m=+639.227052566,100000,40,3.386847ms,13.913109ms,546.747µs,295.25978948146883,8.58345697s
2024-05-02 11:54:10.506562372 +0000 UTC m=+647.836834077,100000,41,3.475471ms,15.624041ms,498.838µs,287.73070876837926,8.606174408s
2024-05-02 11:54:19.03937034 +0000 UTC m=+656.369642042,100000,42,3.531361ms,13.525712ms,503.984µs,283.17693864264635,8.5290049s
2024-05-02 11:54:27.592728285 +0000 UTC m=+664.922999986,100000,43,3.624883ms,14.684219ms,533.14µs,275.8709191907496,8.549764622s
2024-05-02 11:54:36.114306519 +0000 UTC m=+673.444578221,100000,44,3.692306ms,21.177642ms,569.516µs,270.83340411220166,8.518012256s
2024-05-02 11:54:44.46921311 +0000 UTC m=+681.799484813,100000,45,3.703477ms,18.451358ms,544.219µs,270.016518991754,8.351109508s
2024-05-02 11:54:52.867930682 +0000 UTC m=+690.198202384,100000,46,3.807539ms,13.918388ms,497.881µs,262.6368330764157,8.39509833s
2024-05-02 11:55:01.222341437 +0000 UTC m=+698.552613140,100000,47,3.870855ms,15.384288ms,544.817µs,258.34082813920566,8.350977309s
2024-05-02 11:55:09.56284377 +0000 UTC m=+706.893115473,100000,48,3.948568ms,17.427034ms,537.447µs,253.25634288943124,8.336962919s
2024-05-02 11:55:18.000861188 +0000 UTC m=+715.331132911,100000,49,4.077814ms,16.818515ms,514.039µs,245.22942138067086,8.434475297s
2024-05-02 11:55:26.395499304 +0000 UTC m=+723.725771013,100000,50,4.141939ms,19.301085ms,495.832µs,241.4327728556498,8.391007026s
2024-05-02 11:55:34.909021752 +0000 UTC m=+732.239293454,100000,51,4.284282ms,23.966966ms,470.815µs,233.41131980892453,8.509968551s
2024-05-02 11:55:43.307336206 +0000 UTC m=+740.637607907,100000,52,4.311327ms,24.238728ms,583.812µs,231.94710787931558,8.394762574s
2024-05-02 11:55:51.720089781 +0000 UTC m=+749.050361486,100000,53,4.404333ms,23.794267ms,566.468µs,227.04912051359258,8.408771696s
2024-05-02 11:56:00.045814456 +0000 UTC m=+757.376086158,100000,54,4.428146ms,22.043379ms,592.795µs,225.8281344857193,8.322070654s
2024-05-02 11:56:08.319747142 +0000 UTC m=+765.650018844,100000,55,4.485944ms,18.57794ms,444.12µs,222.91848453627998,8.270286288s
2024-05-02 11:56:16.66109614 +0000 UTC m=+773.991367841,100000,56,4.604473ms,18.476506ms,564.191µs,217.18011851530957,8.337774376s
2024-05-02 11:56:24.935561445 +0000 UTC m=+782.265833146,100000,57,4.650412ms,24.987095ms,533.079µs,215.034670415824,8.270858306s
2024-05-02 11:56:33.171867239 +0000 UTC m=+790.502138940,100000,58,4.708932ms,19.881569ms,557.249µs,212.36233382178173,8.232704955s
2024-05-02 11:56:41.370347609 +0000 UTC m=+798.700619315,100000,59,4.762455ms,23.445854ms,550.809µs,209.97571368861395,8.194937107s
2024-05-02 11:56:49.64800523 +0000 UTC m=+806.978276933,100000,60,4.894934ms,25.433119ms,557.78µs,204.29281272767963,8.274025722s
2024-05-02 11:56:57.917595107 +0000 UTC m=+815.247866797,100000,61,4.96823ms,19.748083ms,496.41µs,201.27889586904126,8.266060279s
2024-05-02 11:57:06.136399025 +0000 UTC m=+823.466670726,100000,62,5.021156ms,19.297177ms,658.86µs,199.15728883260485,8.215139943s
2024-05-02 11:57:14.459085047 +0000 UTC m=+831.789356756,100000,63,5.162044ms,19.942359ms,607.786µs,193.72170829579704,8.319084099s
2024-05-02 11:57:22.778576336 +0000 UTC m=+840.108848038,100000,64,5.24479ms,30.412231ms,599.183µs,190.6653923056916,8.315933073s
2024-05-02 11:57:31.0041855 +0000 UTC m=+848.334457202,100000,65,5.260766ms,25.348238ms,551.13µs,190.08637333529944,8.221964321s
2024-05-02 11:57:39.200512438 +0000 UTC m=+856.530784144,100000,66,5.320781ms,19.236814ms,578.611µs,187.94231402509328,8.191164356s
2024-05-02 11:57:47.412404547 +0000 UTC m=+864.742676252,100000,67,5.413435ms,27.276561ms,610.596µs,184.72558988999765,8.208316105s
2024-05-02 11:57:55.627110233 +0000 UTC m=+872.957381934,100000,68,5.50213ms,25.961838ms,582.946µs,181.74778301991256,8.209196592s
2024-05-02 11:58:03.837182776 +0000 UTC m=+881.167454477,100000,69,5.578749ms,24.735876ms,543.681µs,179.25164507290967,8.206329109s
2024-05-02 11:58:12.083589552 +0000 UTC m=+889.413861253,100000,70,5.687216ms,28.659666ms,588.367µs,175.83293740152678,8.242713758s
2024-05-02 11:58:20.41107046 +0000 UTC m=+897.741342164,100000,71,5.834973ms,21.055312ms,527.114µs,171.38038267112492,8.323843583s
2024-05-02 11:58:28.584604154 +0000 UTC m=+905.914875854,100000,72,5.806886ms,27.358272ms,583.73µs,172.20932102230935,8.169859615s
2024-05-02 11:58:36.747037199 +0000 UTC m=+914.077308901,100000,73,5.883407ms,25.56234ms,558.045µs,169.96952563714893,8.15880926s
2024-05-02 11:58:44.850473437 +0000 UTC m=+922.180745140,100000,74,5.912297ms,22.546518ms,523.219µs,169.13898389089965,8.099798333s
2024-05-02 11:58:52.954726468 +0000 UTC m=+930.284998171,100000,75,5.995986ms,30.965982ms,524.993µs,166.77821404419356,8.100424672s
2024-05-02 11:59:00.952974708 +0000 UTC m=+938.283246410,100000,76,5.993403ms,22.479085ms,605.582µs,166.85010897421859,7.994697613s
2024-05-02 11:59:09.083513792 +0000 UTC m=+946.413785494,100000,77,6.173512ms,28.781402ms,518.781µs,161.98235221552073,8.126984974s
2024-05-02 11:59:17.237960591 +0000 UTC m=+954.568232292,100000,78,6.274855ms,24.322648ms,485.258µs,159.3662089792416,8.150893811s
2024-05-02 11:59:25.322232039 +0000 UTC m=+962.652503741,100000,79,6.299674ms,30.100792ms,633.198µs,158.73835793119213,8.080717498s
2024-05-02 11:59:33.444767849 +0000 UTC m=+970.775039552,100000,80,6.417858ms,23.643972ms,609.935µs,155.8152095059162,8.119042373s
2024-05-02 11:59:41.596973304 +0000 UTC m=+978.927245007,100000,81,6.51948ms,26.871208ms,615.049µs,153.38644481819645,8.148594653s
2024-05-02 11:59:49.662638554 +0000 UTC m=+986.992910308,100000,82,6.526298ms,33.346282ms,606.734µs,153.22621763100454,8.06095195s
2024-05-02 11:59:57.775939601 +0000 UTC m=+995.106211307,100000,83,6.654001ms,29.979833ms,598.062µs,150.2854999435929,8.109758682s
2024-05-02 12:00:05.864455139 +0000 UTC m=+1003.194726841,100000,84,6.708214ms,30.381555ms,474.991µs,149.07095582703366,8.084930376s
2024-05-02 12:00:14.01733922 +0000 UTC m=+1011.347610921,100000,85,6.844357ms,30.518675ms,575.838µs,146.1057597835233,8.149429891s
2024-05-02 12:00:22.085270304 +0000 UTC m=+1019.415542009,100000,86,6.855237ms,24.826053ms,611.181µs,145.8738762641692,8.06433892s
2024-05-02 12:00:30.115702458 +0000 UTC m=+1027.445974158,100000,87,6.894311ms,27.602753ms,625.187µs,145.0471218824732,8.026934095s
2024-05-02 12:00:38.371998289 +0000 UTC m=+1035.702269992,100000,88,7.186945ms,29.445553ms,554.641µs,139.1411652282788,8.252788932s
2024-05-02 12:00:46.534845527 +0000 UTC m=+1043.865117229,100000,89,7.170896ms,33.362218ms,633.747µs,139.4525687159785,8.159362944s
2024-05-02 12:00:54.708491539 +0000 UTC m=+1052.038763241,100000,90,7.263082ms,27.501051ms,573.081µs,137.6825931867338,8.170036048s
2024-05-02 12:01:02.798765576 +0000 UTC m=+1060.129037270,100000,91,7.259319ms,27.269839ms,617.688µs,137.7539661630008,8.086535188s
2024-05-02 12:01:10.82607844 +0000 UTC m=+1068.156350143,100000,92,7.28125ms,29.516454ms,566.825µs,137.33905552388734,8.023589216s
2024-05-02 12:01:18.796407781 +0000 UTC m=+1076.126679486,100000,93,7.31114ms,28.763613ms,635.185µs,136.77756579167215,7.966783825s
2024-05-02 12:01:26.827145367 +0000 UTC m=+1084.157417086,100000,94,7.442164ms,38.312356ms,603.873µs,134.36950374578768,8.027044271s
2024-05-02 12:01:34.876556084 +0000 UTC m=+1092.206827785,100000,95,7.541845ms,32.825033ms,585.758µs,132.59354564928833,8.045945844s
2024-05-02 12:01:42.861228535 +0000 UTC m=+1100.191500236,100000,96,7.560617ms,37.938935ms,606.432µs,132.26433449426384,7.98120448s
2024-05-02 12:01:50.878456288 +0000 UTC m=+1108.208728001,100000,97,7.664624ms,29.195963ms,662.719µs,130.46953313174657,8.011793612s
2024-05-02 12:01:58.847577445 +0000 UTC m=+1116.177849148,100000,98,7.697244ms,30.561413ms,595.838µs,129.91662838002918,7.965586616s
2024-05-02 12:02:06.829049322 +0000 UTC m=+1124.159321023,100000,99,7.80237ms,36.402721ms,599.672µs,128.16618413056682,7.977918379s
2024-05-02 12:02:14.876533952 +0000 UTC m=+1132.206805663,100000,100,7.937759ms,31.791705ms,610.297µs,125.98013073410273,8.043876404s
